id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5679841,Family-friendly apartment,29447655,Ilia,,Södermalms,59.31803894042969,18.02950096130371,Entire home/apt,,3,15,2024-08-03,0.13,1,0,6,
5690367,Modern 2 bedroom apt in Hornstull,29501426,Sara And Henrik,,Södermalms,59.31605,18.03633,Entire home/apt,,4,11,2018-07-09,0.09,1,0,0,
5690866,2 bedroom apt in trendy Södermalm,29502286,Görel,,Södermalms,59.31056,18.05251,Entire home/apt,1490,28,17,2024-09-07,0.15,1,78,1,
5701850,Charming loft in the Old Town,5538207,Aurore,,Södermalms,59.32474,18.07026,Entire home/apt,,2,36,2024-08-12,0.30,1,0,4,
5711903,Family house 35 min from center,1993266,Stephane,,Skärholmens,59.28084,17.88999,Entire home/apt,2294,3,18,2023-08-11,0.15,1,179,0,
5723391,"Apartment in Sundbyberg, Stockholm",29675290,Adam,,Norrmalms,59.34471,18.06057,Entire home/apt,1600,3,2,2024-11-30,1.54,1,42,2,
5723567,2 bedroom apt. Hammarby Sjöstad ter,19147433,Pia,,Södermalms,59.30412,18.11362,Entire home/apt,,60,0,,,1,0,0,
5727549,"Charming, soulful house Stockholm, close to lake.",7136111,Susanne,,Älvsjö,59.27554,17.98705,Entire home/apt,1778,2,42,2024-07-31,0.36,2,179,3,
5744579,"Historic home, nice garden close to Stockholm city",26221255,Thomas,,Bromma,59.34068,17.98085,Entire home/apt,3500,4,37,2024-09-08,1.22,1,34,15,
5757636,"Heart of Stockholm, nice view",27209433,Mats,,Kungsholmens,59.32963,18.02948,Entire home/apt,2600,6,10,2023-07-30,0.09,1,125,0,
5845675,Nice apartment in charming area,481238,Emma,,Hägersten-Liljeholmens,59.29981,18.00533,Entire home/apt,660,2,18,2024-08-14,0.15,1,117,6,
5867835,Charming studio with balcony,22438821,Love,,Hägersten-Liljeholmens,59.30146,18.00628,Entire home/apt,,1,0,,,1,0,0,
5948850,Eco-Village B&B 12min to city centre,5655406,Uffe (Ulf Nils),,Skarpnäcks,59.28772,18.12194,Private room,500,3,259,2024-12-10,2.32,3,194,34,
5955089,Eco-village Nature B&B 12 min city centre,5655406,Uffe (Ulf Nils),,Skarpnäcks,59.28772,18.12194,Private room,,2,202,2024-09-04,1.98,3,0,20,
5955651,Eco-Village room B&B 12min to  city centre,5655406,Uffe (Ulf Nils),,Skarpnäcks,59.28772,18.12194,Private room,629,3,253,2024-11-27,2.66,3,241,23,
5961818,Cozy bedroom/kitchen suite,27281864,John,,Skarpnäcks,59.29614,18.1051,Private room,250,90,3,2024-08-31,0.03,2,358,2,
5968420,Hip apartment on Södermalm,342364,Nina,,Södermalms,59.315968345080336,18.069937338144488,Entire home/apt,,3,76,2024-08-16,0.66,1,0,10,
5974467,Soul Corner,15100843,André And Gunilla,,Skarpnäcks,59.26684967872894,18.138782572286118,Entire home/apt,850,2,35,2024-12-16,1.88,1,53,29,
5981665,Spacious apartment on Södermalm,24899546,Sebastiaan,,Södermalms,59.31114,18.06482,Entire home/apt,,10,14,2017-07-23,0.12,1,0,0,
5989626,Elegant flat in historical center with terrace,5939736,Katia,,Norrmalms,59.34466,18.05012,Entire home/apt,,2,21,2024-08-18,0.18,1,0,5,
6007613,Mysig lägenhet i Stockholm,31123665,Oscar,,Norrmalms,59.34154681511023,18.03099094906626,Entire home/apt,2000,3,1,2024-07-18,0.18,1,268,1,
6048949,Bright and cozy apartment in central Stockholm,13861409,Nina,,Kungsholmens,59.3359,18.02804,Entire home/apt,,5,0,,,2,269,0,
